City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,angleton,29.1694,-95.4319,308.74,66,20,4.12,US,1717872719
213,pemangkat,1.1667,108.9667,299.44,84,14,1.59,ID,1717872720
214,qaqortoq,60.7167,-46.0333,276.79,98,100,1.09,GL,1717872720
215,xishan,27.6667,113.5,295.3,95,100,1.22,CN,1717872720
216,brooks,50.5834,-111.8851,288.14,55,98,8.23,CA,1717872720
217,melfi,40.9965,15.6514,299.46,46,0,0.3,IT,1717872720
218,myingyan,21.4667,95.3833,303.59,61,100,5.57,MM,1717872720
219,el salto,20.3333,-104.5,306.06,23,0,1.47,MX,1717872183
220,gori,41.9842,44.1158,290.57,85,100,3.18,GE,1717872720
221,whakatane,-37.9585,176.9854,284.69,93,100,0.45,NZ,1717872439
222,villanueva,15.3167,-88.0,308.73,59,40,1.03,HN,1717872720
223,juticalpa,14.65,-86.2,309.23,69,100,0.95,HN,1717872720
224,lebu,-37.6167,-73.65,284.92,93,100,7.68,CL,1717872720
225,alofi,-19.0595,-169.9187,294.09,73,20,4.12,NU,1717872720
226,kingston,17.997,-76.7936,304.68,74,20,9.77,JM,1717872712
227,kapoeta,4.7717,33.5903,298.11,73,94,2.47,SS,1717872721
228,tolanaro,-25.0319,46.9987,294.19,83,75,6.17,MG,1717872721
229,port-cartier,50.0334,-66.8654,292.27,64,31,4.55,CA,1717872721
230,portland,45.5234,-122.6762,298.15,49,75,3.6,US,1717872535
231,kaoma,-14.7833,24.8,290.49,37,4,2.85,ZM,1717872721
232,hamilton,39.1834,-84.5333,297.94,65,40,2.06,US,1717872721
233,lagunas,-5.2269,-75.6753,305.21,56,100,1.27,PE,1717872721
234,isheyevka,54.4167,48.2667,289.88,93,0,2.62,RU,1717872721
235,srandakan,-7.9386,110.2506,298.03,92,88,2.96,ID,1717872443
236,paracuru,-3.41,-39.0306,302.1,87,35,4.1,BR,1717872721
237,carnarvon,-24.8667,113.6333,296.07,73,41,7.8,AU,1717872426
238,ocean shores,46.9737,-124.1563,295.62,83,0,5.14,US,1717872721
239,ialibu,-6.2821,143.9935,287.53,98,87,0.74,PG,1717872721
240,braganca paulista,-22.94,-46.5556,298.77,41,6,0.72,BR,1717872722
241,uturoa,-16.7333,-151.4333,299.74,79,95,3.87,PF,1717872722
242,port hedland,-20.3167,118.5667,286.18,76,2,3.6,AU,1717872722
243,lerwick,60.1545,-1.1494,282.15,88,100,10.68,GB,1717872430
244,susuman,62.7833,148.1667,274.25,77,100,3.58,RU,1717872435
245,sao joao da barra,-21.6403,-41.0511,300.2,75,0,4.02,BR,1717872722
246,winkler,49.1817,-97.941,295.58,30,79,4.12,CA,1717872722
247,sao francisco,-15.9486,-44.8644,305.19,24,0,2.54,BR,1717872722
248,dryden,49.7833,-92.7503,292.31,45,75,3.09,CA,1717872560
249,queenstown,-31.8976,26.8753,281.41,66,6,0.88,ZA,1717872441
250,kodiak,57.79,-152.4072,280.88,87,100,11.83,US,1717872722
251,shadegan,30.6497,48.6647,305.12,19,0,4.52,IR,1717872722
252,kharp,66.8014,65.8081,273.55,89,94,3.0,RU,1717872722
253,mala bilozerka,47.2474,34.9346,291.1,84,51,4.9,UA,1717872722
254,chelak,39.9203,66.8611,297.57,32,0,2.08,UZ,1717872722
255,bayana,26.9,77.2833,307.33,27,24,2.43,IN,1717872722
256,mountain home,43.133,-115.6912,304.34,25,0,2.57,US,1717872723
257,al kharijah,25.4514,30.5464,307.3,16,0,4.72,EG,1717872723
258,vygonichi,53.0985,34.0673,290.19,94,0,2.92,RU,1717872723
259,tofol,5.3248,163.0078,301.74,79,97,5.61,FM,1717872438
